feature_names,importance
wap_mean_200,51.0
volume_imbalance_mean_300,68.2
wap_mean_300,74.6
volume_imbalance_mean_200,80.8
volume_imbalance_mean_400,89.6
total_volume_mean_200,99.8
total_volume_mean_400,113.0
bid_spread_mean,132.8
total_volume_mean_300,140.6
bid_spread_mean_200,159.8
bid_spread_mean_300,190.2
ask_spread_mean_200,197.0
wap_balance_mean_400,206.8
wap_mean,212.6
ask_spread_mean_300,220.0
ask_spread_mean,226.2
total_volume_mean,231.0
trade_size_sum_300,234.8
bid_spread_mean_400,239.6
ask_spread_mean_400,245.2
volume_imbalance_mean,250.8
wap_mean_400,261.8
trade_order_count_mean_200,269.4
trade_size_sum_200,288.6
trade_order_count_mean_300,313.2
wap_balance_mean_300,322.8
wap_balance_mean_200,332.2
trade_size_sum_400,339.2
log_return2_realized_volatility_200,364.6
price_spread_mean_300,377.4
trade_log_return_realized_volatility_200,416.2
trade_size_sum,432.4
trade_log_return_realized_volatility_300,447.4
price_spread_mean_200,470.0
stock_id_target_enc,488.2
wap_balance_mean,510.6
log_return2_realized_volatility_300,537.6
trade_order_count_mean_400,577.4
log_return2_realized_volatility_400,633.4
trade_seconds_in_bucket_count_unique_200,689.4
trade_seconds_in_bucket_count_unique_300,767.8
log_return2_realized_volatility,811.8
trade_log_return_realized_volatility_400,865.6
log_return_realized_volatility_300,918.2
trade_log_return_realized_volatility,954.6
price_spread_mean_400,984.2
trade_seconds_in_bucket_count_unique_400,1052.4
trade_order_count_mean,1080.4
log_return_realized_volatility_400,1156.2
log_return_realized_volatility_200,1206.6
trade_seconds_in_bucket_count_unique,1262.6
price_spread_mean,1490.8
log_return_realized_volatility,1905.8
stock_id,8476.8
